,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
33,08/03/2023 14:46:49,@YahooFinance,Yahoo Finance,$WE stock boosted amid reports of a potential debt restructuring and cash-raising strategy. https://t.co/7KztCv4Gtv,https://twitter.com/YahooFinance/status/1633479390154694661,Twitter Media Studio - LiveCut,New,6,11
34,08/03/2023 14:44:27,@YahooFinance,Yahoo Finance,"👟 $ADDYY slashes dividend as Q4 sales are impacted by unsold inventories of Yeezy products.
🟢 $CRWD shares rise after Q4 earnings beat.
📈 Stocks open flat on Wednesday morning.
🛢️ $OXY shares rise as crude oil prices fall. https://t.co/dh6aQr4Qaq",https://twitter.com/YahooFinance/status/1633478794219487234,Twitter Media Studio - LiveCut,New,5,20
35,08/03/2023 14:43:06,@YahooFinance,Yahoo Finance,Analyst downgrades Tesla stock after 50% pop https://t.co/3pA4wsAp9g by @BrianSozzi,https://twitter.com/YahooFinance/status/1633478453717618688,SocialFlow,New,6,14
36,08/03/2023 14:38:59,@YahooFinance,Yahoo Finance,“Every single time the Fed chair speaks we're learning a little bit more about how much higher [rates] could go” @BlackRock Americas iShares Investment Strategy Head @Gargi_Chaudhuri says. “But the story hasn't changed — they haven't been able to conquer inflation yet.” https://t.co/ia0gSCPo5h,https://twitter.com/YahooFinance/status/1633477418382917633,Twitter Media Studio - LiveCut,New,4,16
37,08/03/2023 14:36:37,@YahooFinance,Yahoo Finance,"RT @yfinanceplus: The top 5 trending stocks at market open on @YahooFinance are: 

$OXY: +3.30%
$HKD: +4.78%
$CRWD: +6.88%
$TSLA: -2.14%
$R…",https://twitter.com/YahooFinance/status/1633476820258414594,Twitter Web App,Retweet (native),7,11
38,08/03/2023 14:32:00,@YahooFinance,Yahoo Finance,"“We're probably going to see overall slowing growth… the consumers have a lot of stuff already prices are going higher so they are starting to slow that spending down” @BMO Senior Economist Jennifer Lee says on retail spending amid rate hikes.

Full interview: https://t.co/HdT5TdHcTD",https://twitter.com/YahooFinance/status/1633475658868219905,Twitter Media Studio - LiveCut,New,6,8
39,08/03/2023 14:27:00,@YahooFinance,Yahoo Finance,"White House in support of the new bipartisan bill proposing a TikTok ban and future evaluations on social media Big Tech companies.

“This will also be another elevation when it comes to relations to China and it all really has to do with data” @ines_ferre says. https://t.co/kYrE5gax8K",https://twitter.com/YahooFinance/status/1633474400530964480,Twitter Media Studio - LiveCut,New,4,4
40,08/03/2023 14:20:51,@YahooFinance,Yahoo Finance,Home buyers 'waiting on the sidelines' as rising mortgage rates pressure rebound https://t.co/o2tQa0exfO by @daniromerotv,https://twitter.com/YahooFinance/status/1633472852690190340,SocialFlow,New,3,12
41,08/03/2023 14:05:46,@YahooFinance,Yahoo Finance,"Here are the 3 things to know this morning on International Women's Day:
• Fed Chair Powell to give second day of testimonies.
• TikTok continues to face pressure tied to proposed ban by U.S. lawmakers.
• $ADDYY reportedly stuck with $1.3 billion of unsold Yeezy merchandise. https://t.co/GX4SlO5MvQ",https://twitter.com/YahooFinance/status/1633469057025339398,Twitter Media Studio - LiveCut,New,5,12
42,08/03/2023 11:27:02,@YahooFinance,Yahoo Finance,Here's what comes next after Fed Chair Powell's hawkish testimony https://t.co/ZgRmk4gY5q,https://twitter.com/YahooFinance/status/1633429110788616192,TweetDeck Web App,New,6,6
43,08/03/2023 06:03:59,@YahooFinance,Yahoo Finance,Student loan forgiveness advocates and experts are puzzled by $SOFI's new lawsuit attempting the moratorium on federal student loans which has led to millions of dollars in lost profits for the company's refinancing business. https://t.co/pzI58kRPPK,https://twitter.com/YahooFinance/status/1633347814787776513,SocialFlow,New,4,19
44,08/03/2023 05:32:57,@YahooFinance,Yahoo Finance,President Biden is set to formally release his 2024 budget proposal later this week and is already offering previews on what he plans to do with Medicare. https://t.co/50cNKsV48E,https://twitter.com/YahooFinance/status/1633340003857190914,SocialFlow,New,5,8
